HOT cruises
 Cru No   Tsn   Tcorr No      Tcorr   Slag
  284   5519        1     -0.000085       -1.0  
  285   1416        1     -0.001184        1.0
  285   5519        1     -0.000139       -1.0  
  286   1416        1     -0.001291        1.0
  286   5519        1     -0.000175       -1.0  
  287   1416        1     -0.001537        0.0
  287   5519        1     -0.000259       -1.0  
  287   2329        1     -0.000461        0.0
  287   2633        1     -0.000601       -2.0  
  288   1416        1     -0.001692        0.0
  288   5519        1     -0.000311       -2.0  
  289   1416        1      0.000010        0.0
  289   4448        1      0.000263       -2.0  
  290   1416        1      0.000006        0.0
  290   4448        1      0.000240       -2.0  
  291   1416        1      0.000001        0.0
  291   4448        1      0.000214       -2.0  
  292   1416        1     -0.000002        0.0
  292   4448        1      0.000192       -2.0  
  292   5519        1      0.000146       -3.0  
  293   1416        1     -0.000006        0.0  
  293   5519        1      0.000114       -1.0
  294   1416        1     -0.000010        0.0  
  294   5519        1      0.000083       -3.0
  295   1416        1     -0.000016        0.0  
  295   5519        1      0.000027       -3.0
  296   1416        1     -0.000024        0.0  
  296   5519        1     -0.000040       -1.0
  297   1416        1     -0.000029        0.0  
  297   5519        1     -0.000077       -1.0
  298   1416        1     -0.000033        0.0  
  298   5519        1     -0.000116       -2.0
  299   1416        1      0.000822        0.0  
  299   2907        1     -0.000022        -2.0
  300   1416        1      0.000708        0.0  
  300   2907        1     -0.000010        -2.0
  301  1416      1     0.000564     0.0
  301  2907      1     0.000006    -2.0
  302  1416      1     0.000485     0.0
  302  4448      1    -0.000043    -2.0
  303  1416      1     0.000366     0.0
  303  5519      1     0.000043    -2.0
  304  1416      1     0.000286     0.0
  304  5519      1     0.000056    -3.0
  305  1416      1     0.000150     0.0
  305  5519      1     0.000079    -2.0
  306  1416      1     0.000060     1.0
  306  5519      1     0.000095    -2.0
  307  1416      1    -0.000040     0.0
  307  5519      1     0.000112    -2.0
  308  1416      1    -0.000108     0.0
  308  5519      1     0.000123    -2.0
  309  1416      1     0.000358     0.0
  309  4448      1     0.000282    -2.0
  310  1416      1     0.000165     0.0
  310  5519      1     0.000150    -2.0
  311  1416      1    -0.000232     0.0
  311  5519      1     0.000033    -1.0
  312  1416      1    -0.000452     1.0
  312  5519      1    -0.000033    -1.0
  313  1416      1    -0.000557     0.0
  313  5519      1    -0.000064    -1.0
  314  1416      1    -0.000739     0.0
  314  5519      1    -0.000117    -1.0
  315  1416      1    -0.000921     0.0
  315  5519      1    -0.000171    -1.0
  316  1416      1    -0.001158     0.0
  316  5519      1    -0.000241    -1.0
  317    1416        1     -0.001500        0.0
  317    5519        1     -0.000342       -1.0
